id,type,,,
浓,3,,,
晖,1,,,
留,2,,,
群,9,,,
来,2,,,
船,1,,,
初,3,,,
心,1,,,
间,6,,,
虚,3,,,
诗,1,,,
成,2,,,
殊,5,,,
阿,10,,,
张,9,,,
名,1,,,
多,2,,,
中,1,,,
悬,2,,,
桥,1,,,
清,3,,,
支,9,,,
花,1,,,
开,2,,,
泉,1,,,
香,3,,,
池,1,,,
云,1,,,
何,5,,,
书,1,,,
移,2,,,
时,1,,,
长,2,,,
年,1,,,
思,2,,,
餐,1,,,
毛,1,,,
仪,1,,,
添,2,,,
迟,3,,,
头,1,,,
过,2,,,
娱,2,,,
夫,1,,,
衰,2,,,
星,1,,,
能,2,,,
遥,3,,,
腰,1,,,
翁,1,,,
看,2,,,
离,2,,,
深,3,,,
繁,3,,,
波,1,,,
回,2,,,
春,1,,,
怜,3,,,
稠,3,,,
亲,2,,,
除,2,,,
寥,3,,,
壕,1,,,
台,1,,,
齐,3,,,
阴,3,,,
荣,3,,,
卑,3,,,
红,3,,,
人,1,,,
同,6,,,
居,1,,,
苓,1,,,
存,2,,,
期,2,,,
州,1,,,
围,2,,,
游,2,,,
宫,1,,,
沙,1,,,
强,3,,,
归,2,,,
亭,1,,,
低,3,,,
家,1,,,
天,1,,,
光,1,,,
难,3,,,
知,2,,,
声,1,,,
然,10,,,
门,1,,,
风,1,,,
高,3,,,
非,2,,,
明,3,,,
安,2,,,
稀,3,,,
砧,1,,,
飞,2,,,
持,2,,,
疏,2,,,
残,3,,,
衣,1,,,
行,2,,,
城,1,,,
鸥,1,,,
讹,2,,,
装,2,,,
伦,1,,,
原,3,,,
前,1,,,
迷,2,,,
坡,1,,,
秋,1,,,
梅,1,,,
新,3,,,
旁,3,,,
堂,1,,,
流,2,,,
之,10,,,
劳,2,,,
林,1,,,
黄,3,,,
公,1,,,
寒,3,,,
兵,1,,,
弓,1,,,
戈,1,,,
轻,3,,,
斜,2,,,
晨,1,,,
生,2,,,
痕,1,,,
关,2,,,
幽,3,,,
晡,1,,,
青,3,,,
柯,1,,,
山,1,,,
君,1,,,
钱,1,,,
巢,1,,,
沾,2,,,
飘,2,,,
坤,1,,,
哉,10,,,
炉,1,,,
床,1,,,
身,1,,,
偏,3,,,
程,1,,,
啼,2,,,
赊,2,,,
晴,3,,,
雄,1,,,
情,1,,,
峰,1,,,
艰,2,,,
传,2,,,
哀,3,,,
园,1,,,
辰,1,,,
筵,1,,,
平,3,,,
壶,1,,,
方,1,,,
隅,1,,,
横,3,,,
机,1,,,
狼,1,,,
均,3,,,
凋,2,,,
疑,2,,,
荷,1,,,
边,1,,,
墙,1,,,
芳,3,,,
乡,1,,,
涛,1,,,
郎,1,,,
坟,1,,,
无,2,,,
鹅,1,,,
坊,1,,,
休,2,,,
瞻,2,,,
堤,1,,,
苔,1,,,
京,1,,,
奇,3,,,
今,1,,,
亡,2,,,
欢,3,,,
根,1,,,
舟,1,,,
消,2,,,
临,2,,,
枝,1,,,
歌,1,,,
庄,1,,,
分,2,,,
娟,1,,,
微,3,,,
频,3,,,
要,2,,,
昏,3,,,
盐,1,,,
还,2,,,
圭,1,,,
违,2,,,
摧,2,,,
东,1,,,
溪,1,,,
川,1,,,
贫,3,,,
骑,2,,,
功,1,,,
楼,1,,,
侵,2,,,
蛮,4,,,
仙,1,,,
悲,3,,,
儒,1,,,
蹄,1,,,
筹,1,,,
扉,1,,,
梳,1,,,
文,1,,,
雷,1,,,
弦,1,,,
刀,1,,,
丝,1,,,
闻,2,,,
含,2,,,
暄,1,,,
眠,2,,,
辉,1,,,
杯,1,,,
终,3,,,
为,6,,,
鸰,1,,,
场,1,,,
遮,2,,,
江,1,,,
烟,1,,,
畦,1,,,
重,2,,,
辞,2,,,
牵,2,,,
塘,1,,,
岑,1,,,
饶,2,,,
鱼,1,,,
俱,2,,,
三,8,,,
骝,1,,,
琴,1,,,
儿,1,,,
绳,1,,,
车,1,,,
閒,3,,,
层,1,,,
呼,2,,,
纷,2,,,
簪,1,,,
庭,1,,,
臣,1,,,
魂,1,,,
茫,3,,,
戎,1,,,
兼,2,,,
滩,1,,,
真,3,,,
舆,1,,,
垂,2,,,
盆,1,,,
湖,1,,,
师,1,,,
隈,1,,,
连,2,,,
蒸,2,,,
惊,3,,,
陂,1,,,
森,1,,,
旌,1,,,
朝,6,,,
颜,3,,,
通,2,,,
裳,1,,,
笼,1,,,
滨,1,,,
尘,1,,,
鞍,1,,,
窗,1,,,
郊,1,,,
村,1,,,
华,3,,,
攀,2,,,
凄,3,,,
才,1,,,
旗,1,,,
冥,3,,,
湲,3,,,
宵,1,,,
销,2,,,
贤,3,,,
忧,2,,,
凉,3,,,
浪,1,,,
桃,1,,,
冠,2,,,
钟,1,,,
愁,3,,,
求,2,,,
馀,2,,,
金,1,,,
河,1,,,
招,2,,,
羹,1,,,
藏,2,,,
粱,1,,,
田,1,,,
袍,1,,,
披,2,,,
髯,1,,,
浮,2,,,
酤,2,,,
垆,1,,,
铭,1,,,
冰,1,,,
骄,3,,,
蛾,1,,,
联,2,,,
尧,1,,,
珂,1,,,
空,2,,,
尊,1,,,
形,1,,,
骦,1,,,
西,3,,,
瓜,1,,,
禅,3,,,
驼,1,,,
牢,1,,,
如,6,,,
阑,1,,,
收,2,,,
沈,2,,,
葵,1,,,
萝,1,,,
鞭,1,,,
巾,1,,,
囊,1,,,
曹,1,,,
鼙,1,,,
蓬,1,,,
音,1,,,
宽,3,,,
缨,1,,,
它,6,,,
橙,1,,,
私,3,,,
怡,3,,,
扶,2,,,
听,2,,,
裙,1,,,
庖,1,,,
谋,2,,,
孤,3,,,
秦,1,,,
旋,2,,,
栖,2,,,
嗟,12,,,
龙,1,,,
斑,1,,,
鞞,1,,,
忘,2,,,
凫,1,,,
坛,1,,,
词,1,,,
威,1,,,
裘,1,,,
皇,1,,,
洲,1,,,
苍,3,,,
鼯,1,,,
盘,1,,,
荒,3,,,
吟,2,,,
擎,2,,,
寻,2,,,
穿,2,,,
营,1,,,
恩,1,,,
猿,1,,,
班,1,,,
危,3,,,
喧,3,,,
帘,1,,,
醒,2,,,
伤,2,,,
尝,2,,,
锄,2,,,
房,1,,,
圆,3,,,
蹊,1,,,
焉,10,,,
阳,1,,,
神,1,,,
轮,1,,,
丰,3,,,
枫,1,,,
萍,1,,,
童,1,,,
枚,5,,,
肥,3,,,
菰,1,,,
倾,2,,,
催,2,,,
图,2,,,
贪,2,,,
禁,2,,,
柈,1,,,
随,2,,,
查,2,,,
双,3,,,
泥,1,,,
曛,1,,,
慵,3,,,
穷,3,,,
邻,2,,,
霜,1,,,
枢,1,,,
堪,1,,,
供,2,,,
经,2,,,
宜,2,,,
升,2,,,
增,2,,,
蘋,1,,,
悭,3,,,
优,3,,,
楠,1,,,
良,3,,,
祠,1,,,
嫌,2,,,
遭,2,,,
恂,3,,,
钩,1,,,
殷,1,,,
妨,2,,,
征,2,,,
鸦,1,,,
宁,3,,,
襟,1,,,
绵,1,,,
簧,1,,,
醅,1,,,
韝,1,,,
笳,1,,,
颇,7,,,
猜,2,,,
樵,1,,,
麟,1,,,
宸,1,,,
貂,1,,,
篇,5,,,
毫,1,,,
湍,3,,,
弹,2,,,
容,2,,,
悠,3,,,
蓉,1,,,
呦,11,,,
蝉,1,,,
徐,3,,,
胡,1,,,
军,1,,,
卿,6,,,
霄,1,,,
莺,1,,,
蛇,1,,,
䍦,1,,,
庐,1,,,
枪,1,,,
尖,3,,,
须,1,,,
虞,1,,,
灵,1,,,
腾,2,,,
论,2,,,
灰,1,,,
醺,3,,,
匆,3,,,
琳,1,,,
由,2,,,
源,1,,,
乾,3,,,
莲,1,,,
农,1,,,
端,1,,,
芒,1,,,
拳,1,,,
皋,1,,,
梨,1,,,
梢,1,,,
条,1,,,
蔬,1,,,
和,9,,,
号,1,,,
梁,1,,,
翻,2,,,
巅,1,,,
途,1,,,
萤,1,,,
狂,3,,,
望,2,,,
罗,5,,,
鸯,1,,,
荆,1,,,
嘶,11,,,
泠,2,,,
忙,3,,,
材,1,,,
丛,5,,,
梯,1,,,
涯,1,,,
墟,1,,,
匀,3,,,
豚,1,,,
王,1,,,
航,2,,,
迁,2,,,
飧,1,,,
依,2,,,
聋,3,,,
苏,1,,,
霏,3,,,
饥,3,,,
参,2,,,
匙,1,,,
瘳,2,,,
章,1,,,
携,2,,,
骚,3,,,
松,1,,,
缁,1,,,
藩,1,,,
苗,1,,,
厨,1,,,
惭,3,,,
楸,1,,,
澄,3,,,
葭,1,,,
鸣,2,,,
灯,1,,,
邮,1,,,
南,1,,,
霞,1,,,
遗,2,,,
旄,1,,,
驯,2,,,
干,3,,,
丘,1,,,
兹,6,,,
闱,1,,,
箫,1,,,
姚,1,,,
侯,1,,,
封,2,,,
摇,2,,,
唇,1,,,
巡,2,,,
央,1,,,
氲,1,,,
毡,1,,,
躇,2,,,
芜,3,,,
跎,2,,,
篱,1,,,
玕,1,,,
醪,1,,,
吾,6,,,
称,3,,,
萧,3,,,
飙,2,,,
轩,1,,,
誇,2,,,
坰,1,,,
团,1,,,
鞯,1,,,
癫,1,,,
砂,1,,,
蒿,1,,,
愚,3,,,
娑,3,,,
潜,1,,,
滔,3,,,
氛,1,,,
将,1,,,
胸,1,,,
徂,2,,,
官,1,,,
骞,1,,,
韶,1,,,
痍,3,,,
缠,2,,,
栽,2,,,
妻,1,,,
檐,1,,,
吹,2,,,
巴,5,,,
楹,1,,,
飖,2,,,
屏,1,,,
薇,1,,,
银,1,,,
嚬,1,,,
雩,1,,,
粳,1,,,
帷,1,,,
潭,1,,,
螭,1,,,
渠,1,,,
妆,1,,,
纱,1,,,
降,2,,,
操,2,,,
沦,2,,,
鳞,1,,,
峨,1,,,
凝,2,,,
鲜,3,,,
刘,6,,,
蟠,1,,,
鹏,1,,,
溟,1,,,
筠,1,,,
罂,1,,,
零,3,,,
槎,1,,,
畿,1,,,
从,8,,,
臊,2,,,
缘,1,,,
乘,2,,,
栏,1,,,
纶,1,,,
棋,1,,,
湘,1,,,
堆,5,,,
缸,1,,,
藜,1,,,
嘲,2,,,
泾,1,,,
燕,1,,,
牛,1,,,
